# EthiopicVariants-X.Y.Z.txt
# Date: 2023-08-19, 19:23:17 EDT
#
# This is a demonstrative file that illustrates Ethiopic Variant data, modeled after Unicode's Standard Variants data file.
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Variants of Mechiresha Mark (U+F4C3)
F4C3 FE00; short mechiresha mark; # SHORT MECHIRESHA MARK
1374 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT ONE WITH DOUBLE NUMERAL BARS SANS SERIFS
136A E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT TWO WITH DOUBLE NUMERAL BARS SANS SERIFS
136B E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT THREE WITH DOUBLE NUMERAL BARS SANS SERIFS
136C E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT FOUR WITH DOUBLE NUMERAL BARS SANS SERIFS
136D E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT FIVE WITH DOUBLE NUMERAL BARS SANS SERIFS
136E E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT SIX WITH DOUBLE NUMERAL BARS SANS SERIFS
136F E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT SEVEN WITH DOUBLE NUMERAL BARS SANS SERIFS
1370 E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT EIGHT WITH DOUBLE NUMERAL BARS SANS SERIFS
1371 E0106; with double numeral bars sans serifs; # ETHIOPIC DIGIT NINE WITH DOUBLE NUMERAL BARS SANS SERIFS
1372 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER TEN WITH DOUBLE NUMERAL BARS SANS SERIFS
1373 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER TWENTY WITH DOUBLE NUMERAL BARS SANS SERIFS
1374 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER THIRTY WITH DOUBLE NUMERAL BARS SANS SERIFS
1375 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER FORTY WITH DOUBLE NUMERAL BARS SANS SERIFS
1376 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER FIFTY WITH DOUBLE NUMERAL BARS SANS SERIFS
1377 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER SIXTY WITH DOUBLE NUMERAL BARS SANS SERIFS
1378 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER SEVENTY WITH DOUBLE NUMERAL BARS SANS SERIFS
1379 E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER EIGHTY WITH DOUBLE NUMERAL BARS SANS SERIFS
137A E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER NINETY WITH DOUBLE NUMERAL BARS SANS SERIFS
137B E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER HUNDRED WITH DOUBLE NUMERAL BARS SANS SERIFS
137C E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER TEN THOUSAND WITH DOUBLE NUMERAL BARS SANS SERIFS
F70F E0106; with double numeral bars sans serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH DOUBLE NUMERAL BARS SANS SERIFS
1369 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT ONE WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
136A E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT TWO WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
136B E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT THREE WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
136C E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT FOUR WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
136D E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT FIVE WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
136E E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT SIX WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
136F E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT SEVEN WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1370 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT EIGHT WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1371 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC DIGIT NINE WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1372 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER TEN WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1373 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER TWENTY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1374 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER THIRTY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1375 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER FORTY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1376 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER FIFTY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1377 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER SIXTY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1378 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER SEVENTY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1379 E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER EIGHTY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
137A E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER NINETY WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
137B E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER HUNDRED WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
137C E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER TEN THOUSAND WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
F70F E0107; with double numeral bars and rubricated upper bars sans serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH DOUBLE NUMERAL BARS AND RUBRICATED UPPER BARS SANS SERIFS
1369 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT ONE WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
136A E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT TWO WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
136B E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT THREE WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
136C E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT FOUR WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
136D E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT FIVE WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
136E E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT SIX WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
136F E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT SEVEN WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1370 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT EIGHT WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1371 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC DIGIT NINE WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1372 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER TEN WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1373 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER TWENTY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1374 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER THIRTY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1375 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER FORTY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1376 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER FIFTY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1377 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER SIXTY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1378 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER SEVENTY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
1379 E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER EIGHTY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
137A E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER NINETY WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
137B E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER HUNDRED WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
137C E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER TEN THOUSAND WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
F70F E0108; with triple numeral bars and rubricated upper and lower bars sans serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH TRIPLE NUMERAL BARS AND RUBRICATED UPPER AND LOWER BARS SANS SERIFS
137C E0109; with rubricated body and rubricated square serifs and with internal serif; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITH INTERNAL SERIF

# Ethiopic Letter Variants
121F FE00; chaîne mwaa; # ETHIOPIC SYLLABLE CHAÎNE MWAA
121F FE01; cohen mwaa; # ETHIOPIC SYLLABLE COHEN MWAA
122F FE00; cohen rwaa ; # ETHIOPIC SYLLABLE COHEN RWAA 
1287 FE00; ggoa; # ETHIOPIC SYLLABLE GGOA
1288 FE00; gebreyesus xwa; # ETHIOPIC SYLLABLE GEBREYESUS XWA
128A FE00; gebreyesus xwi; # ETHIOPIC SYLLABLE GEBREYESUS XWI
128B FE00; gebreyesus xwaa; # ETHIOPIC SYLLABLE GEBREYESUS XWAA
128C FE00; gebreyesus xwee; # ETHIOPIC SYLLABLE GEBREYESUS XWEE
128D FE00; gebreyesus xwe; # ETHIOPIC SYLLABLE GEBREYESUS XWE
1297 FE00; chaîne nwaa; # ETHIOPIC SYLLABLE CHAÎNE NWAA
1298 FE00; gumuz na ; # ETHIOPIC SYLLABLE GUMUZ NA 
1299 FE00; gumuz nyu; # ETHIOPIC SYLLABLE GUMUZ NYU
129A FE00; gumuz nyi; # ETHIOPIC SYLLABLE GUMUZ NYI
129B FE00; gumuz nya; # ETHIOPIC SYLLABLE GUMUZ NYA
129C FE00; gumuz nyee; # ETHIOPIC SYLLABLE GUMUZ NYEE
129D FE00; gumuz nye; # ETHIOPIC SYLLABLE GUMUZ NYE
129E FE00; gumuz nyo; # ETHIOPIC SYLLABLE GUMUZ NYO
129F FE00; gumuz nywaa; # ETHIOPIC SYLLABLE GUMUZ NYWAA
129F FE01; cohen nywaa; # ETHIOPIC SYLLABLE COHEN NYWAA
12C3 FE00; cohen kxwaa; # ETHIOPIC SYLLABLE COHEN KXWAA
12E0 FE00; chaîne zha; # ETHIOPIC SYLLABLE CHAÎNE ZHA
12E1 FE00; chaîne zhu; # ETHIOPIC SYLLABLE CHAÎNE ZHU
12E3 FE00; chaîne zhaa; # ETHIOPIC SYLLABLE CHAÎNE ZHAA
12E4 FE00; chaîne zhee; # ETHIOPIC SYLLABLE CHAÎNE ZHEE
12E5 FE00; chaîne zhe; # ETHIOPIC SYLLABLE CHAÎNE ZHE
12E5 FE01; cohen zhe; # ETHIOPIC SYLLABLE COHEN ZHE
12E6 FE00; chaîne zho; # ETHIOPIC SYLLABLE CHAÎNE ZHO
12F8 FE00; amsalu dda; # ETHIOPIC SYLLABLE AMSALU DDA
12F9 FE00; amsalu ddu; # ETHIOPIC SYLLABLE AMSALU DDU
12FA FE00; amsalu ddi; # ETHIOPIC SYLLABLE AMSALU DDI
12FB FE00; amsalu ddaa; # ETHIOPIC SYLLABLE AMSALU DDAA
12FC FE00; amsalu ddee; # ETHIOPIC SYLLABLE AMSALU DDEE
12FD FE00; amsalu dde; # ETHIOPIC SYLLABLE AMSALU DDE
12FE FE00; amsalu ddo; # ETHIOPIC SYLLABLE AMSALU DDO
1338 FE00; bilen gwaa; # ETHIOPIC SYLLABLE BILEN GWAA
1338 FE01; bse-sim gwaa; # ETHIOPIC SYLLABLE BSE-SIM GWAA
1318 FE00; ga with detached macron; # ETHIOPIC SYLLABLE GA WITH DETACHED MACRON
1319 FE00; ggu with detached macron; # ETHIOPIC SYLLABLE GGU WITH DETACHED MACRON
131A FE00; ggi with detached macron; # ETHIOPIC SYLLABLE GGI WITH DETACHED MACRON
131B FE00; ggaa with detached macron; # ETHIOPIC SYLLABLE GGAA WITH DETACHED MACRON
131C FE00; ggee with detached macron; # ETHIOPIC SYLLABLE GGEE WITH DETACHED MACRON
131D FE00; gge with detached macron; # ETHIOPIC SYLLABLE GGE WITH DETACHED MACRON
131E FE00; ggo with detached macron; # ETHIOPIC SYLLABLE GGO WITH DETACHED MACRON
131F FE00; ggwaa with detached macron; # ETHIOPIC SYLLABLE GGWAA WITH DETACHED MACRON
1335 FE00; praetorius phe; # ETHIOPIC SYLLABLE PRAETORIUS PHE
133D FE00; tzwa; # ETHIOPIC SYLLABLE TZWA
134F FE00; cohen fwa-1; # ETHIOPIC SYLLABLE COHEN FWA-1
134F FE01; cohen fwa-2; # ETHIOPIC SYLLABLE COHEN FWA-2
1358 FE00; cohen rya; # ETHIOPIC SYLLABLE COHEN RYA
1359 FE00; cohen mya; # ETHIOPIC SYLLABLE COHEN MYA
1381 FE00; bse-sim mwi; # ETHIOPIC SYLLABLE BSE-SIM MWI
1381 FE01; leslau-sahle mwi; # ETHIOPIC SYLLABLE LESLAU-SAHLE MWI
1383 FE00; leslau-sahle mwe-1; # ETHIOPIC SYLLABLE LESLAU-SAHLE MWE-1
1383 FE01; leslau-sahle mwe-2; # ETHIOPIC SYLLABLE LESLAU-SAHLE MWE-2
1385 FE00; bse-sim bwi; # ETHIOPIC SYLLABLE BSE-SIM BWI
138A FE00; leslau-sahle fwee; # ETHIOPIC SYLLABLE LESLAU-SAHLE FWEE
138B FE00; leslau-sahle fwe; # ETHIOPIC SYLLABLE LESLAU-SAHLE FWE
138D FE00; bse-sim pwi; # ETHIOPIC SYLLABLE BSE-SIM PWI
